ngc_bmu_id,2016,2017,2018,2019,2020
DRAXX-4,5664078.164,5031931.224,3654052.868,5215861.12,5688523.884
DRAXX-5,4276848.56,6040978.96,3342247.084,832804.66,1676810.564
DRAXX-6,4176484.244,3628181.404,3959747.676,594488.356,1679664.936
DRAXX-9G,55.384,268.032,247.008,88.08,119.44
DRSLW-1,0.0,0.0,0.0,272006.626,264190.318
DUNGW-1,0.0,0.0,0.0,482960.036,455360.54
EAAO-1,0.0,0.0,0.0,371600.182,2504184.832
EAAO-2,0.0,0.0,0.0,63.236,1898266.782
EDINW-1,171872.492,210339.418,181756.998,172029.63,177254.522
EECL-1,2651568.314,2157842.756,2016314.558,3286727.358,1093069.11
EGGPS-1,873196.748,124560.668,61685.836,0.0,0.0
EGGPS-2,534041.536,51578.972,34780.22,0.0,0.0
EGGPS-3,1172135.97,904874.16,520708.55,0.0,0.0
EGGPS-4,1906096.62,977795.35,461603.52,0.0,0.0
ERRO-1,64609.946,82485.112,50673.61,65938.29,82990.616
ERRO-2,38357.704,1763.214,33661.09,56478.324,82269.942
ERRO-3,82603.462,78236.29,54266.066,69855.262,77836.896
EWHLW-1,0.0,0.0,0.0,164097.338,152319.706
FAARW-1,201212.95,212116.72,183561.97,187863.128,143154.706
FAARW-2,189190.59,209640.9,210118.2,180742.418,164403.69
FALGW-1,602953.0,687898.106,649030.012,647205.814,666012.188
FASN-1,120677.844,141220.62,135344.774,191710.236,215700.24
FASN-4,128559.402,83409.53,123829.756,129217.412,127584.382
FASN2,141167.76,127745.06,121667.044,156396.1,171617.374
FASN3,98583.07,142458.03,82081.538,57563.882,110737.21
FAWN-1,1449089.238,1992929.904,1883908.1,1730832.034,1948825.772
FDUNT-1,39283.31,34978.12,20261.88,8836.8,36467.596
FELL-1,518309.796,380281.734,260188.908,170155.736,57902.016
FERR-1,0.08,0.0,0.0,0.0,0.0
FERR-2,0.056,0.0,0.0,0.0,0.0
FERR-3,1597664.54,0.0,0.0,0.0,0.0
FERR-5G,0.0,0.0,0.0,0.0,0.0
FERR-8G,0.0,0.0,0.0,0.0,0.0
FFES-1,57927.22,39190.86,38654.88,3777.04,0.0
FFES-2,102809.3,102724.24,84775.66,9202.9,0.0
FFES-3,82631.34,47315.54,56547.08,77099.32,104107.54
FFES-4,100343.14,102742.12,34001.62,46930.5,119010.498
FIDL-1,724870.896,90442.302,84723.6,0.0,0.0
FIDL-2,984368.838,1596953.906,785699.892,151604.71600000001,315894.194
FIDL-2G,65.172,202.44,334.146,10.002,56.094
FIDL-3,965705.478,1326155.696,796811.0380000001,937987.916,854420.942
FIDL-3G,47.712,126.096,475.368,25.877999999999997,1035.222
FIDL-4,1014820.914,787543.096,666481.548,1219492.59,793576.49
FINL-1,139122.17799999999,145390.556,145063.756,146658.384,180053.594
FOYE-1,234094.4,290509.0,253308.7,245366.5,122058.7
FOYE-2,226009.5,244670.30000000002,202168.0,160751.9,209764.4
FSDLW-1,0.0,0.0,0.0,126725.172,138552.386
GAOFO-1,0.0,0.0,0.0,0.0,249223.894
GAOFO-2,0.0,0.0,0.0,0.0,249606.64
GAOFO-3,0.0,0.0,0.0,0.0,247214.14
GAOFO-4,0.0,0.0,0.0,0.0,243607.42
GDSTW-1,50471.432,59136.446,50791.588,50051.808,49846.738
GFLDW-1,160150.178,163239.712,161119.012,149548.992,170077.102
GLNDO-1,283516.46,278032.94,299716.42,355031.68,463484.24
GLOFW-1,96464.58,111480.294,105328.402,105064.292,108636.34
GLWSW-1,0.0,0.0,0.0,260483.842,269955.068
GNAPW-1,0.0,0.0,0.0,33602.678,102453.278
GNFSW-1,193983.388,648380.058,632672.55,629992.424,733497.424
GNFSW-2,126370.052,405190.304,410185.966,401790.128,460181.062
GORDW-1,254835.52,309050.178,335109.834,358009.446,274295.652
GRAI-6,3722705.0,4454157.4,3316434.9,4972063.6,4711657.0
GRAI-7,5061975.9,3670332.7,4080392.5,4316416.9,3568960.5
GRAI-8,5224432.3,2000030.2,3328429.8,3985852.9,3154836.8
GRGBW-1,1145673.7179999999,1218396.352,1066232.938,999993.058,1264649.688
GRGBW-2,1242142.53,1284646.668,1129856.354,745274.87,1343903.472
GRGBW-3,1181613.168,1214761.474,1112935.946,1135554.606,1246617.736
GRIFW-1,245278.968,331422.576,307279.29,291589.648,254240.334
GRIFW-2,300032.922,379060.464,320159.114,325305.792,299889.042
GRMO-1,1839786.68,1760869.32,2060950.226,1938735.63,1984716.624
GYAR-1,4611564.208,3774874.596,2025973.45,4896928.084,1996781.958
GYMRO-15,816729.78,934386.66,837595.02,868917.64,1067349.24
GYMRO-17,813628.52,945223.24,848734.66,844091.52,738875.22
GYMRO-26,626703.52,1007699.7,874561.74,916098.62,1015328.84
GYMRO-28,919145.5,1020438.98,892634.94,864206.44,987243.42
HADHW-1,361697.44,432772.28,373114.16,361299.5,398737.88
HBHDW-1,0.0,0.0,0.0,231229.736,292172.666
HEYM11,6960846.64,6117872.884,7374824.132,7195466.02,5356801.52
HEYM12,8258362.0,6596729.976,6801863.88,6535735.072,6976961.68
HEYM27,11028685.34,10563208.296,7971899.612,10985562.736,10402962.888
HEYM28,8997676.888,10855581.476,10272645.72,10450655.62,8321331.072
HINB-7,6687370.5,7844797.768,7690789.976,6139718.328,2717923.408
HINB-8,8279101.56,7214403.412,6592927.752,8191812.62,1176504.568
HLGLW-1,0.0,0.0,0.0,86734.33,100810.5
HLTWW-1,0.0,0.0,18011.88,216721.862,215878.504
HMGTO-1,0.0,0.0,739045.49,836043.44,923865.938
HOWAO-1,0.0,0.0,0.0,724144.658,3504650.286
HOWAO-2,0.0,0.0,0.0,2443971.866,3617549.376
HOWAO-3,0.0,0.0,0.0,1495285.76,3124865.394
HRSTW-1,389254.882,417325.08,386466.654,406471.224,469124.104
HRTL-1,5688455.246,9374550.568,6681526.68,8732642.368,9189814.056
HRTL-2,7579218.456,9315267.668,8790265.844,6585598.192,7890081.24
HUMR-1,15443269.6,13522310.3,14576850.966,15254195.95,14475671.082
HUNB-7,7961990.764,7978137.972,1423980.74,0.0,2772058.004
HUNB-8,8294747.452,7115065.62,6185460.196,2479663.756,2238882.288
HYWDW-1,0.0,0.0,133094.902,291122.196,280267.188
INDQ-1,1246.72,2340.88,1004.6,3715.52,940.28
IRNPS-2,0.0,0.0,0.0,0.0,0.0
KEAD-1,3604641.4,4590564.91,5066698.67,4064457.71,4036396.17
KEADGT-3,353.13,50.59,313.58,158.01,830.81
KILBW-1,303564.28,327171.914,312318.036,318366.466,310534.582
KILLPG-1,3625.056,9341.368,46180.388,51355.284,64800.604
KILLPG-2,3954.304,11635.956,28936.728,82403.204,38559.168
KILNS-1,5852.764,0.0,0.0,2.0,0.0
KLGLW-1,0.0,476220.138,1185734.618,1122940.976,1057078.588
KLYN-A-1,1.1540000000000001,0.08,0.01,695123.306,2862672.282
LAGA-1,4735970.2,6652868.2,4833395.8,3873867.6,4146064.6
LARYO-1,1102307.6,1109760.8159999999,974884.7119999999,949195.688,1282419.572
LARYO-2,1165605.124,1059226.266,958053.814,757747.866,1309041.192
LARYO-3,1102028.53,1122013.07,881600.932,1157403.638,1296931.6639999999
LARYO-4,1112618.324,1117904.032,1160460.788,1094994.182,1295186.85
LBAR-1,7009473.46,7874535.38,8557150.14,5541004.66,4270387.86
LBAR-1G,274.34,240.12,361.04,379.16,370.58
LCLTW-1,286984.258,282392.528,292353.128,281458.422,256883.306
LNCSO-1,913566.674,971886.316,890919.77,942079.462,1044289.11
LNCSO-2,997666.878,1076895.498,984160.114,1031801.374,1146651.01
LNMTH-1,0.0,0.0,1031604.298,1748298.912,1811424.788
LNMTH-2,0.0,0.0,831838.946,1556776.814,1702290.538
LNMTH-3,0.0,0.0,686125.966,1584417.188,1736730.022
LOAN-1,886250.1,0.0,0.0,0.0,0.0
LOAN-2,955478.64,0.0,0.0,0.0,0.0
LOAN-3,882136.53,0.0,0.0,0.0,0.0
LOAN-4,810006.85,0.0,0.0,0.0,0.0
MARK-1,711409.866,774622.728,591695.186,779340.456,695323.234
MDHLW-1,379506.532,407810.042,376317.826,377561.512,369248.38
MEDP-1,4787335.13,4762819.916,2914593.274,3396448.422,4002230.422
MIDMW-1,0.0,0.0,0.0,0.0,154849.112
MILWW-1,274557.76,328495.6,331530.74,326508.46,327608.56
MINSW-1,163257.374,171135.52,166205.418,159119.056,162344.58
MKHLW-1,0.0,0.0,0.0,193106.276,187804.694
MRWD-1,11281666.6,11181273.6,10031964.2,8875623.4,8423565.2
NANT-1,72369.524,73811.492,73511.404,68864.732,90591.348
OMNDO-1,948675.16,795314.39,890723.5,926621.81,1045334.89
PEHE-1,2981007.192,4936731.26,9589662.284,8414394.62,6876284.078
PEMB-11,5566499.3,4568182.7,4617412.0,4874889.5,4145498.7
PEMB-21,5825642.9,5140000.4,5051287.1,4905924.8,4589983.8
PEMB-31,6043273.9,5147055.1,4845280.4,4437648.7,4152549.8
PEMB-41,5686384.1,5211750.6,5045407.4,4774739.8,4211532.3
PEMB-51,5109412.6,5403609.4,5442005.8,5240500.0,4375416.7
PETEM1,60691.294,39520.838,19508.322,12095.5,33949.264
RATS-1,1283132.528,1158108.632,1302921.152,441219.332,294523.718
RATS-2,1743448.364,1158158.782,1620003.03,316890.43200000003,228533.86
RATS-3,1598677.648,1639643.158,2445500.43,283025.756,165674.266
RATS-4,902805.92,1171982.392,1755245.34,446666.258,229068.136
RATSGT-2,514.278,651.93,362.136,204.936,703.638
RATSGT-4,514.626,432.726,427.302,179.874,644.148
RCBKO-1,0.0,507419.268,1971165.488,2090969.136,2380016.404
RCBKO-2,0.0,890698.066,1978022.28,2173538.678,2399946.808
RMPNO-1,0.0,16467.078,947822.014,1321005.82,1509891.596
RMPNO-2,0.0,0.0,892248.79,732823.382,1625650.18
ROCK-1,8298645.4,5255113.6,3962562.8,6456201.804,3814185.2
RREW-1,476920.044,495883.57,497813.08,493887.886,600448.868
RRWW-1,511998.528,564504.978,573069.298,557551.226,655857.778
RUGGT-6,0.0,0.0,0.0,0.0,0.0
RUGGT-7,0.0,0.0,0.0,0.0,0.0
RUGPS-6,2566096.112,0.0,0.0,0.0,0.0
RUGPS-7,0.0,0.0,0.0,0.0,4.0
RYHPS-1,2280010.02,1215592.588,810728.292,1164631.09,860840.272
SANQW-1,0.0,0.0,0.0,234922.0,226149.354
SCCL-1,5099284.4,5334384.2,4186100.2,4927018.3,4142937.9
SCCL-2,4852749.1,4382758.2,4439278.5,4254243.0,5155375.3
SCCL-3,4947049.4,4353713.3,4539424.3,4925234.3,4284747.1
SEAB-1,7500424.922,8852709.122,4445195.356,4172927.654,3750769.71
